from,tokenid,amount
0x3E69E0f5335C140bf5692b224b3E0Ec95fc1bF21,94,553.0
0x8E58aFD54b06cbf43B0998bA852A2d257c4E7CBD,95,453.0
0x3E69E0f5335C140bf5692b224b3E0Ec95fc1bF21,96,650.0
0x28729A795EFBd6B41fC2976A8303C77d66FEbC5B,97,1075.0
0x1f916bBF39aB189A9E3d9E1823a7b1A8e9e5f204,98,999.0
0xd7510c55745dF5F7ab75A8Cd7F4ed1D8aeD04A01,99,1200.0
0xD044b32b36Ca9D42Ab28087341a484Dae10388c9,101,1000.0
0x697d1eEb266AEc5251901e20e6A09dbdb68008c1,102,780.0
0x3E69E0f5335C140bf5692b224b3E0Ec95fc1bF21,103,250.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,104,700.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,105,888.0
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,106,1337.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,107,888.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,108,777.0
0x8E58aFD54b06cbf43B0998bA852A2d257c4E7CBD,109,900.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,111,777.0
0xFc149d251fBdB3020a5B52c1660108e777C6061f,112,620.0
0xf42132A16A48eE845aAE57436e7a855Ae74073F2,113,309.0
0x2A3837b830FD55b0A4b62677d89F54410Cf5cbA2,114,520.0
0xA31a661FA0247e04499291C98c57ca23dC2d26DB,115,351.0
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,116,420.0
0x2A3837b830FD55b0A4b62677d89F54410Cf5cbA2,117,500.0
0x07DdB647e0100b915D39f4126781D58755a82C19,118,300.0
0x0C5681103c8118B6CAD4496eA563544af33911D9,119,200.0
0x97F50652a201Eb3f8fB9DdB33766C7157224c45B,121,312.12
0xB835367ae1CaFCEa58a10A51b17Fea25d16c3daB,122,220.0
0x97F50652a201Eb3f8fB9DdB33766C7157224c45B,123,440.0
0xd8856cCe3F878d3Ea03964F80B18987fF1919272,124,500.0
0xB835367ae1CaFCEa58a10A51b17Fea25d16c3daB,125,200.0
0xF2fF78B5D8796a10F65feD42073930ac8C3F8129,126,230.0
0xf2d2C0F3492Bbde32612e29315D555e692F9540F,127,469.0
0x047F606fD5b2BaA5f5C6c4aB8958E45CB6B054B7,128,450.0
0xab61660F93dFfca32e3F526B20DAD35332080A12,129,280.0
0xab61660F93dFfca32e3F526B20DAD35332080A12,131,100.0
0xA77867A711123636D418217164BB97A4Def6f73a,132,130.0
0xA31a661FA0247e04499291C98c57ca23dC2d26DB,133,181.0
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,134,500.0
0x3459be10A49e7bA76c59903755CBd76C0743F8DC,135,600.0
0x99999990D598B918799f38163204Bbc30611B6b6,136,666.0
0x84814EbDF05DFB9dC8A11349f73e8E64E3595664,137,450.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,138,469.0
0xe7A4Dd3f2B5a2F0d6c0Cbe42e0176bDd00541851,139,420.0
0x27093e9309C104A430507E853b58f470ac9086E5,141,420.0
0x3C2d6d7144241F1F1203c29C124585e55B58975E,142,420.0
0x5E3cAb8074C647C8f51cB3491FE64C00b2fD8355,143,900.0
0xA77867A711123636D418217164BB97A4Def6f73a,144,360.0
0xB5D26158102181dc4ceee75f260A60Debd752E45,145,690.0
0xA77867A711123636D418217164BB97A4Def6f73a,146,469.0
0xA77867A711123636D418217164BB97A4Def6f73a,147,430.0
0xA77867A711123636D418217164BB97A4Def6f73a,148,369.0
0xA77867A711123636D418217164BB97A4Def6f73a,149,416.16
0x52748Fb83648A77936124567ABb833F098eDB44b,151,501.0
0x465E54669973c73bF36cF44DA42A5EA98618f2CA,152,150.0
0xA77867A711123636D418217164BB97A4Def6f73a,153,345.0
0x9Cd6140c2De8AF7595629bCcA099497f0c28B2A9,154,390.0
0x44CDDD49C6098B77108336FC5f10A4CC9037d764,155,250.0
0xC9001B996a7e2659F6C74F5FAc588695816e0955,156,400.0
0x281eC184E704CE57570614C33B3477Ec7Ff07243,157,250.0
0xC9001B996a7e2659F6C74F5FAc588695816e0955,158,500.0
0xC9001B996a7e2659F6C74F5FAc588695816e0955,159,400.0
0xCa59816e0D83aD19B6a30779CAC6ebbBb12baDCe,161,300.0
0x962889273705A4dE31aadC3e8E49284E16c8c8e6,162,310.0
0x31Aac01Ca971b7df70Cff05c213A6450cA323f80,163,350.0
0x9Cd6140c2De8AF7595629bCcA099497f0c28B2A9,164,1000.0
0xB13a255A3164B69E40c3dbDfda972399163c51Fd,165,800.0
0xa7Dcc417c63F24F9073b667A5d7149bD38463d0F,166,350.0
0xa242B590f63941749Be337Eed817aF40b61fDd7c,167,750.0
0xa7Dcc417c63F24F9073b667A5d7149bD38463d0F,168,850.0
0xB5D26158102181dc4ceee75f260A60Debd752E45,169,600.0
0x8915da99B69e84DE6C97928d378D9887482C671c,171,600.0
0xA77867A711123636D418217164BB97A4Def6f73a,172,440.0
0xbf8e10fC4bfe5624A29e4B04f264F3E6422dF5A5,173,400.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,174,600.0
0x3eFbe2262eD0Ee598FdD0417909cbaaEE8D673A1,175,311.0
0xAFb4BCE970b77222a74D240294Bd67216114b8eB,176,300.0
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,177,365.0
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,178,320.0
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,179,250.0
0x851ebc72b02Fd9b7E593Dd0C413C94C377cDD46a,181,266.0
0x4e3b4C69EEEB3DF8cC057f24521101B2D9De4B00,182,281.0
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,183,1020.0
0x4e3b4C69EEEB3DF8cC057f24521101B2D9De4B00,184,283.0
0x7911670881A81F8410d06053d7B3c237cE77b9B4,185,415.0
0xCF3aa9cDf475358c72D057B95652F887f24caad1,186,270.0
0x6b1c6E17A7C073253BDE2F3AAB0a767D4c9a2107,187,320.0
0xa242B590f63941749Be337Eed817aF40b61fDd7c,188,350.0
0x0c6306c1ff8F0cA8432B761085d5Ce74160A499a,189,500.0
0xBd1df14002FAD5be95C04bce29517b03e7806891,191,500.0
0x84ECB387395a1be65E133c75Ff9e5FCC6F756DB3,192,300.0
0x44CDDD49C6098B77108336FC5f10A4CC9037d764,193,350.0
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,194,133.0
0xCa59816e0D83aD19B6a30779CAC6ebbBb12baDCe,195,200.0
0x0f1025f754b3eb32ab3105127b563084BFa03A6F,196,320.0
0x5fA275BA9F04BDC906084478Dbf41CBE29388C5d,197,269.0
0x35426D18A3CB143EbDd00ca5063614C4896742f6,198,270.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,199,376.38
0x3eFbe2262eD0Ee598FdD0417909cbaaEE8D673A1,201,378.0
0x5FfE390CA15F7946290DAce0b329b6369a1f5002,202,235.0
0x35426D18A3CB143EbDd00ca5063614C4896742f6,203,400.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,204,275.0
0x35426D18A3CB143EbDd00ca5063614C4896742f6,205,280.0
0x8AfcEE41a79541fb220682dbb406f474EC1F22A7,206,150.0
0xbFdcFa353e92DdD9655866f220c0F2b5264647b2,207,193.0
0xaee394a8e28bE8b27D9a08e80c9A8aD6D72e52A6,208,100.0
0x3eFbe2262eD0Ee598FdD0417909cbaaEE8D673A1,209,222.0
0xaee394a8e28bE8b27D9a08e80c9A8aD6D72e52A6,211,180.0
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,212,200.0
0x851ebc72b02Fd9b7E593Dd0C413C94C377cDD46a,213,150.0
0xcfc14D1dc16F9c737355b678442d7491DC5183bC,214,400.0
0x837Dfd7d2522e9cDAc1b58C03C0B07c18d8d3DAc,215,230.0
0x347A1B1eF81aCD74740F6e073577347a8d5Ff107,216,300.0
0xd319f112bf73eAe5e3cf06bF8D4076cC5f8B1cD5,217,250.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,218,333.0
0x932654BC075A69AD65CFc76BA01C4ac3621D1598,219,255.0
0x9821B66d1F6C0CaeCb7a3F97b501d0FbbE72c284,221,410.0
0x9821B66d1F6C0CaeCb7a3F97b501d0FbbE72c284,222,350.0
0x837Dfd7d2522e9cDAc1b58C03C0B07c18d8d3DAc,223,320.0
0xC8e66291fC15B6392d56ac2EF3dB3Ce4fd8c070A,224,157.0
0x932654BC075A69AD65CFc76BA01C4ac3621D1598,225,130.0
