from,tokenid,amount
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,6,1530
0xe9976c99962cDBb8E599EA878bfE4B67ce229884,6,1700
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,6,2000
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,6,2400
0xe9976c99962cDBb8E599EA878bfE4B67ce229884,6,2700
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,6,3500
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,2754
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,3600
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,6,3700
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,3800
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,3800
0xB5D26158102181dc4ceee75f260A60Debd752E45,6,4000
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,3900
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,6,4100
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,4100
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,4100
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,4250
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,4200
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,4335
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,4500
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,4600
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,7,1000
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,7,1000
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,7,5000
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,7,6000
0xB5D26158102181dc4ceee75f260A60Debd752E45,7,6120
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,8,1000
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,8,1000
0x6A8B40fB25A90a09151453aa79D569A7279f1ff6,8,1500
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,8,1550
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,8,1581
0xB5D26158102181dc4ceee75f260A60Debd752E45,8,1615
0x3eFbe2262eD0Ee598FdD0417909cbaaEE8D673A1,8,1613
0x6A8B40fB25A90a09151453aa79D569A7279f1ff6,8,1650
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,8,1612.62
0xB5D26158102181dc4ceee75f260A60Debd752E45,8,1700
0x6A8B40fB25A90a09151453aa79D569A7279f1ff6,8,2000
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,9,1000
0xda26cBEcFC78Fc5E59362544Fe4DD956F9D7598f,9,1020
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,9,1100
0xda26cBEcFC78Fc5E59362544Fe4DD956F9D7598f,9,1200
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,9,1600
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,9,1650
